번호,급,지역,기관명,홈페이지,설립,주소
81,고등학교,영광군,해룡고등학교,https://haeryong.hs.jne.kr,사립,전라남도 영광군 영광읍 중앙로 120 . 해룡고등학교 (영광읍)
82,고등학교,장성군,장성고등학교,https://jangseong.hs.jne.kr,사립,전라남도 장성군 장성읍 영천월산길 63 . 장성고등학교 (장성읍)
83,고등학교,진도군,진도고등학교,https://jindo.hs.jne.kr,사립,전라남도 진도군 진도읍 동외4길 117-5 . 진도고등학교 (진도읍)
84,고등학교,순천시,순천복성고등학교,https://bokseong.hs.jne.kr,공립,전라남도 순천시 해룡면 복성길 17 . 순천복성고등학교 (해룡면)
85,고등학교,나주시,영산고등학교,https://yeongsan.hs.jne.kr,사립,전라남도 나주시 영강길 32 . 영산고등학교 (삼영동)
86,고등학교,곡성군,옥과고등학교,https://okgwa.hs.jne.kr,사립,전라남도 곡성군 옥과면 대학로 99 (옥과면)
87,고등학교,담양군,한빛고등학교,https://hanbit.hs.jne.kr,사립,전라남도 담양군 대전면 추성1로 501-21 (대전면)
88,고등학교,영광군,영산성지고등학교,https://yssj.hs.jne.kr,사립,전라남도 영광군 백수읍 성지로 1218-6 (백수읍)
89,고등학교,무안군,백제고등학교,https://baekje.hs.jne.kr,사립,전라남도 무안군 무안읍 무안로 422 (무안읍. 백제고등학교)
90,고등학교,곡성군,한울고등학교,https://hanwool.hs.jne.kr,공립,전라남도 곡성군 목사동면 주목로 713 . 한울고등학교 (목사동면)
91,고등학교,순천시,한국바둑고등학교,https://kbd.hs.jne.kr,공립,전라남도 순천시 주암면 조달진로 27 (주암면. 한국바둑고등학교)
92,고등학교,함평군,함평골프고등학교,https://hamgolf.hs.jne.kr,공립,전라남도 함평군 학교면 학교길 77 . 함평골프고등학교 (학교면)
93,고등학교,무안군,전남체육고등학교,https://jnpschool.hs.jne.kr,공립,전라남도 무안군 일로읍 일로로 126 (일로읍)
94,고등학교,나주시,전남과학고등학교,https://jeonnam-sh.hs.jne.kr,공립,전라남도 나주시 금천면 오강길 33 (금천면. 전남과학고등학교)
95,고등학교,진도군,진도국악고등학교,https://jindogukak.hs.jne.kr,공립,전라남도 진도군 임회면 석교길 20-4 . 진도국악고등학교 (임회면)
96,고등학교,광양시,한국창의예술고등학교,https://koreaarts.hs.jne.kr,공립,전라남도 광양시 중마로 400 . 한국창의예술고등학교 (마동)
97,고등학교,무안군,전남예술고등학교,https://jeonnamarts.hs.jne.kr/,사립,전라남도 무안군 삼향읍 삼향중앙로 31 (삼향읍.예향관)
